texto,sentimento
muito muito lento filme rumo jovem angustiado deriva,0
certeza perdido personagens planas público quase metade quais saiu,0
tentativa artiness ângulos câmera preto branco inteligente filme desapontado tornou-se ainda ridículo atuação fraca enredo linhas quase inexistente,0
pouco música coisa falar,0
melhor cena filme gerardo tentando encontrar música correndo cabeça,1
resto filme carece arte encanto significa vazio funciona acho vazio,0
desperdiçado horas,0
viu filme hoje esforço bom boas mensagens crianças,1
pouco previsível,0
adorei fundição jimmy buffet professor ciências,1
bebê adorável,1
filme mostrou monte florida melhor fez pareça atraente,1
canções melhores muppets tão hilariante,1
tão legal,1
filme direito caso oferece quase rosto,1
ator média pessoa principal baixo orçamento ver claramente,0
revisão atrasada considero tale of two sisters ser único maior filme feito,1
colocar jóia filme roteiro cinematografia atuação pós-produção edição direção aspecto cinema,1
praticamente perfeito verdadeira obra-prima mar obras falsas,1
estrutura filme facilmente firmemente construído história cinema,1
consigo pensar filme algo vital importância ocorre minuto,1
palavras nível conteúdo filme suficiente facilmente preencher filmes,1
perfeito juízo pedir filme,1
simplesmente forma elevada superlativo imagináveis ​​cinema,1
sim filme requer quantidade bastante significativa quebra-cabeças peças encaixam criar bela imagem,1
curta-metragem certamente faz rodeios,0
gráficos longe ser melhor parte jogo,0
número melhor jogo th série,1
merece amor forte,1
jogo louco,1
níveis enormes enormes personagens desbloqueáveis apenas jogo enorme,1
desperdice dinheiro jogo,1
tipo dinheiro desperdiçado corretamente,1
verdade gráficos bons momento,1
hoje gráficos porcaria,0
dizem canadá jogo divertido sim,1
jogo rochas,1
comprá-lo tocá-lo apreciá-lo amá-lo,1
puro brilho,1
movimento condenado concepção,0
própria idéia coxo tomar personagem secundário medíocre pg-13 filmes fazer não-sequela completa mudar filme família pg-rated,0
pouco interessado,0
apenas confirmam filme graça genérico conseguiu dar filme exagerando momento ponto trama piada contada trailer,0
apenas engraçado,0
talentoso carrell salvar,0
colegas elenco saem melhor pessoas morgan freeman jonah hill ed helms apenas desperdiçados,0
história si apenas previsível preguiçoso,0
trabalho efeitos real presença animais bem integração pessoas cenas piores trabalho azul tela verde vi,0
custou tanto traduzem qualidade certo,0
filme sucesso apesar talvez causa orçamento obviamente insuficiente,1
contente filme ir escolha óbvia filme menor certamente teria,1
além ter canções lindas escritas french cancan possui bonitos protagonistas nunca enfeitar tela,1
difícil cair cabeça-sobre-saltos amor garota,1
negativo bastante insípida causa arrependimento horas vida desperdiçados frente tela,0
longo chorosa sentido,0
recomendo espera esforços futuros vez,0
excelente elenco enredo performances,1
totalmente crível,1
anne heche absolutamente convincente,1
retrato entusiasmado marinha sam shepard decepcionante,1
sat preso tela tv,1
apesar dar presente ressoando,1
acho tom hanks ator,1
gostava ler livro filhos pequenos,1
decepcionado filme,0
personagem totalmente irritante voz dá sensação unhas quadro,0
cena russa totalmente desnecessário rolo,0
havia absolutamente calor charme cenas personagens,0
filme irrita totalmente nervos,0
performances melhoradas improvisação atores têm agora vezes preocupar entregando linha bem linha si bom,0
sinceramente vezes bom,0
vezes diálogo realmente siga linha outra encaixam arredores,0
explode energia imprevisível jovem honestamente achei difícil seguir concentrar serpenteia tão mal,0
geralmente grandes coisas,1
diria valem horas tempo entanto,0
construtores suspense apenas cruzar linha,1
gostei especialmente escolhas não-clichê pais filmes prever diálogo íntegra escrita filme feito melhores seleções,1
quer filme bruto calafrios ótima escolha,1
alexander nevsky grande filme,1
artista filme incrível importante viveu,1
feliz peça pretensiosa s planejado tiros dodge stratus grandes vai fabricantes ajuda filmes negócio filme contido québec,0
primeiro filme dado,1
vez filme precisava boca-a-boca promover,1
geral filme interessante instigante,1
além bem tranqüilo adequado tempo execução relativamente curto,1
dar olhar,1
vento leão bem escrito bem atuado,1
verdadeiro clássico,1
verdade ser bastante decente tanto quanto lista horror filmes suspense ir,1
definitivamente vale pena conferir,1
problema script,0
horrível,0
havia crível,0
único suspense sentindo frustração quão retardado meninas estavam,0
maná filme fantástico tempo previsíveis imprevisíveis tempo,1
cenas vezes engraçado ocasionalmente tocando personagens avaliar vidas onde indo,1
elenco atores veteranos apenas viagem nostalgia,1
